"Symbol","Name","Industry","Market Cap (Short)","Market Cap (Raw)","$Price","%Change","Volume","%Volume"
"AAPL","Apple Inc. Common Stock","Technology | Computer Manufacturing","2924.1B","2924072903520","188.01","0.3","53790500","-4.08"
"MSFT","Microsoft Corporation Common Stock","Technology | Computer Software: Prepackaged Software","2747.5B","2747484415161","369.67","-0.16","26860100","2.05"
"GOOG","Alphabet Inc. Class C Capital Stock","Technology | Computer Software: Programming Data Processing","1706.9B","1706932080000","136.38","0.7","15840880","-31.26"
"GOOGL","Alphabet Inc. Class A Common Stock","Technology | Computer Software: Programming Data Processing","1684.9B","1684903920000","134.62","0.75","23861520","-23.37"
"AMZN","Amazon.com Inc. Common Stock","Consumer Discretionary | Catalog/Specialty Distribution","1479.8B","1479833179915","143.2","-1.78","63875720","14.25"
"NVDA","NVIDIA Corporation Common Stock","Technology | Semiconductors","1207.5B","1207533600000","488.88","-1.55","47549740","15.68"
"META","Meta Platforms Inc. Class A Common Stock","Technology | Computer Software: Programming Data Processing","855B","855019029564","332.71","-1.07","14531180","-32.29"
"TSLA","Tesla Inc. Common Stock","Consumer Discretionary | Auto Manufacturing","772B","771969270590","242.84","2.29","150354000","25.27"
"AVGO","Broadcom Inc. Common Stock","Technology | Semiconductors","402.6B","402582210602","975.4","0.25","1609948","-15.77"
"ADBE","Adobe Inc. Common Stock","Technology | Computer Software: Prepackaged Software","271B","271044643000","595.31","-1.49","3088889","20.19"
"ASML","ASML Holding N.V. New York Registry Shares","Technology | Industrial Machinery/Components","267.5B","267531620658","678","0.38","918711","-2.36"
"COST","Costco Wholesale Corporation Common Stock","Consumer Discretionary | Department/Specialty Retail Stores","264.2B","264218718558","596.78","1.01","2165104","29.2"
"PEP","PepsiCo Inc. Common Stock","Consumer Staples | Beverages (Production/Distribution)","229.9B","229945997477","167.25","-0.51","5611162","10.15"
"CSCO","Cisco Systems Inc. Common Stock (DE)","Telecommunications | Computer Communications Equipment","216B","216042822678","53.28","0.21","32188150","97.41"
"NFLX","Netflix Inc. Common Stock","Consumer Discretionary | Consumer Electronics/Video Chains","202.2B","202181746298","461.94","2.96","5035283","6.29"
"LIN","Linde plc Ordinary Shares","Industrials | Major Chemicals","195.3B","195289643237","402.75","-0.25","1139901","-25.27"
"AMD","Advanced Micro Devices Inc. Common Stock","Technology | Semiconductors","190.6B","190628869138","118","-1.57","59555590","2.31"
"INTC","Intel Corporation Common Stock","Technology | Semiconductors","171.2B","171211760000","40.61","3.04","47392140","17.46"
"CMCSA","Comcast Corporation Class A Common Stock","Telecommunications | Cable & Other Pay Television Services","171.2B","171186641725","42.53","1.58","17121490","-17.54"
"TMUS","T-Mobile US Inc. Common Stock","Telecommunications | Telecommunications Equipment","170.2B","170233128832","147.2","0.13","4675026","4.9"
"INTU","Intuit Inc. Common Stock","Technology | Computer Software: Prepackaged Software","155.7B","155695358741","555.54","0.00359","1711334","13.5"
"PDD","PDD Holdings Inc. American Depositary Shares","Consumer Discretionary | Business Services","151B","150987155868","114.42","3.08","8663121","34"
"AMGN","Amgen Inc. Common Stock","Health Care | Biotechnology: Biological Products (No Diagnostic Substances)","146.1B","146119656712","273.03","1.11","2795245","16.66"
"QCOM","QUALCOMM Incorporated Common Stock","Technology | Computer peripheral equipment","143.5B","143487960000","128.92","1.22","7789083","-12.4"
"TXN","Texas Instruments Incorporated Common Stock","Technology | Semiconductors","137.9B","137928955604","151.87","1.29","5956977","-5.85"
"AMAT","Applied Materials Inc. Common Stock","Technology | Industrial Machinery/Components","130B","129972264585","155.37","0.84","4383341","-10.9"
"RYAAY","Ryanair Holdings plc American Depositary Shares","Consumer Discretionary | Air Freight/Delivery Services","129.8B","129811380000","114.15","3.01","1006268","92.85"
"HON","Honeywell International Inc. Common Stock","Industrials | Aerospace","125B","124960959570","189.55","-0.36","4076819","41.96"
"SBUX","Starbucks Corporation Common Stock","Consumer Discretionary | Restaurants","121.4B","121446762000","106.03","0.41","7980174","-2.21"
"SNY","Sanofi ADS","Health Care | Biotechnology: Pharmaceutical Preparations","114.5B","114534317895","45.42","-0.68","2373190","-20.32"
"BKNG","Booking Holdings Inc. Common Stock","Consumer Discretionary | Transportation Services","108.9B","108885013456","3120.82","-1.66","284319","1.41"
"ISRG","Intuitive Surgical Inc. Common Stock","Health Care | Industrial Specialties","103.2B","103234432206","293.22","0.55","1889778","-10.51"
"AZN","AstraZeneca PLC American Depositary Shares","Health Care | Biotechnology: Pharmaceutical Preparations","97.8B","97788370000","63.13","-1.71","6239828","10.46"
"MDLZ","Mondelez International Inc. Class A Common Stock","Consumer Staples | Packaged Foods","95.2B","95249081994","69.99","-0.16","7262118","4.94"
"ADP","Automatic Data Processing Inc. Common Stock","Technology | EDP Services","94.8B","94789300060","230.46","0.02","1553667","-17.09"
"GILD","Gilead Sciences Inc. Common Stock","Health Care | Biotechnology: Biological Products (No Diagnostic Substances)","93.5B","93502983801","75.04","0.43","7102130","20.23"
"LRCX","Lam Research Corporation Common Stock","Technology | Industrial Machinery/Components","92B","91977636800","697.9","0.43","629464","-32.54"
"ADI","Analog Devices Inc. Common Stock","Technology | Semiconductors","90.1B","90085196966","180.78","1.8","3293229","0.2"
"VRTX","Vertex Pharmaceuticals Incorporated Common Stock","Health Care | Biotechnology: Pharmaceutical Preparations","90B","90019043499","349.34","-5.57","3234868","151.53"
"REGN","Regeneron Pharmaceuticals Inc. Common Stock","Health Care | Biotechnology: Pharmaceutical Preparations","86.3B","86327411182","792.38","-0.17","502147","-1.39"
"MU","Micron Technology Inc. Common Stock","Technology | Semiconductors","84.7B","84702379093","77.14","-0.04","9954004","-11.59"
"ABNB","Airbnb Inc. Class A Common Stock","Consumer Discretionary | Hotels/Resorts","83.2B","83227024873","128.35","1.32","6851426","11.89"
"SNPS","Synopsys Inc. Common Stock","Technology | Computer Software: Prepackaged Software","80.5B","80501006014","529.32","-1.67","1284534","67.71"
"PANW","Palo Alto Networks Inc. Common Stock","Technology | Computer peripheral equipment","79.1B","79055765653","256.18","-1.91","9579043","163.47"
"CME","CME Group Inc. Class A Common Stock","Finance | Investment Bankers/Brokers/Service","76B","75980117515","211.06","-0.33","1663908","6.4"
"NTES","NetEase Inc. American Depositary Shares","Technology | Computer Software: Prepackaged Software","74.2B","74194920663","115.08","0.7","1824838","95.56"
"KLAC","KLA Corporation Common Stock","Technology | Electronic Components","74.1B","74137485146","545.4","-0.00733","881447","-7.56"
"EQIX","Equinix Inc. Common Stock REIT","Real Estate | Real Estate Investment Trusts","73.3B","73322954144","781","-0.64","376537","-4.55"
